ID,Age,Height(in.),Attraction,Intellectual_Connection,Humor,Phys_Chemistry,Hair,Attitude,Politics,Income,Divorced,Kids,Second_Date,Like_This_Person?
1,27,67,4,2.5,1,4,Blonde,Neutral,Left,Low,No,No,Yes,No
2,27,65,5.5,6.5,4.5,3,Blonde,Complainer,Left,Low,No,No,Yes,No
3,25,61,1,2,2.5,1,Brunette,Negative,Left,Low,No,No,No,No
4,21,68,8,7.5,7,8,Brunette,Negative,Left,Low,No,No,Yes,Yes
5,27,65,7,7.5,6.5,8,Blonde,Positive,Left,Medium,No,No,No,Yes
6,31,67,2.5,3.5,3.5,2,Brunette,Complainer,Left,Low,No,No,Yes,No
7,37,65,7,2.5,4.5,5,Brunette,Neutral,Left,Low,Yes,Yes,No,No
8,23,68,5,7,7,6,Brunette,Positive,Right,Low,No,No,Yes,No
9,34,61,3,10,10,6,Brunette,Positive,Independent,High,Yes,No,Yes,Yes
10,26,63,7,4,3,6.5,Blonde,Neutral,Left,Low,No,Yes,No,No
11,36,62,8.5,2,3.5,6.5,Blonde,Negative,Right,Low,Yes,Yes,Yes,No
12,45,66,1.5,2.5,7,3.5,Brunette,Negative,Left,Low,Yes,No,No,No
13,22,66,6.5,7,6.5,9,Blonde,Complainer,Right,Low,No,No,Yes,Yes
14,28,71,0,7,4,0,Blonde,Neutral,Left,Low,No,No,No,No
15,21,65,7.5,8,7.5,7.5,Brunette,Complainer,Left,Medium,No,No,Yes,Yes
16,21,62,3,9,9,5,Red,Positive,Independent,Low,No,No,Yes,Yes
17,21,67,5,8.5,7.5,7,Brunette,Positive,Left,Low,No,No,Yes,Yes
18,39,67,2,2.5,2,4.5,Brunette,Negative,Right,Low,Yes,Yes,No,No
19,32,60,7,6,5.5,7.5,Blonde,Positive,Left,High,No,No,No,No
20,25,64,3.5,3,4,4.5,Brunette,Complainer,Left,Low,No,No,No,No
21,27,63,9.5,5.5,9,10,Brunette,Positive,Right,Low,Yes,Yes,Yes,Yes
22,35,62,7,8.5,10,5.5,Blonde,Positive,Independent,Low,Yes,Yes,Yes,Yes
23,23,69,9,1,1,3.5,Blonde,Negative,Left,Low,No,No,Yes,No
24,25,69,8,5,4,9.5,Blonde,Neutral,Right,Low,No,Yes,Yes,Yes
25,25,64,4,3,5,3,Blonde,Neutral,Right,Medium,No,No,No,No
26,33,70,7.5,6.5,6.5,7.5,Brunette,Neutral,Left,Medium,No,Yes,Yes,No
27,38,68,5,3.5,3.5,3.5,Brunette,Neutral,Left,Low,Yes,Yes,Yes,No
28,34,62,8.5,6,4,5,Blonde,Positive,Right,High,No,No,No,Yes
29,28,65,3.5,7.5,2.5,3.5,Blonde,Complainer,Left,Low,No,No,No,No
30,33,62,8,6.5,7,8,Brunette,Neutral,Right,High,Yes,Yes,Yes,Yes
31,37,62,6.5,6,8.5,6.5,Brunette,Negative,Right,Medium,Yes,Yes,Yes,Yes
32,29,64,7,6,6,6.5,Brunette,Positive,Left,Low,No,No,No,Yes
33,34,62,6.5,3.5,4,2,Blonde,Positive,Left,Medium,Yes,Yes,No,No
34,39,65,3.5,4.5,6.5,2,Blonde,Neutral,Left,Low,No,No,No,No
35,34,68,1.5,1.5,1,0,Blonde,Negative,Left,Low,No,No,No,No
36,23,63,8,2.5,6,7.5,Brunette,Complainer,Right,Low,No,No,Yes,No
37,26,65,3.5,1,2,0,Blonde,Neutral,Right,Low,Yes,Yes,No,No
38,28,66,7.5,5.5,3,7.5,Brunette,Neutral,Left,Medium,No,No,No,Yes
39,33,63,8,6.5,3,7,Brunette,Negative,Left,Low,No,No,No,Yes
40,30,64,8.5,6,8,7.5,Blonde,Complainer,Left,Low,No,No,Yes,Yes
41,30,62,4,6.5,6,6,Blonde,Positive,Left,Medium,Yes,No,Yes,No
42,23,67,8,6,7,9.5,Brunette,Positive,Left,Low,No,Yes,Yes,Yes
43,30,74,4.5,3,2,2.5,Brunette,Negative,Right,Medium,No,No,No,No
44,27,67,8,3.5,4,6.5,Brunette,Positive,Right,Medium,No,No,Yes,No
45,40,70,9,6.5,9,9,Blonde,Positive,Left,Medium,Yes,Yes,Yes,Yes
46,30,71,5,9,7,3.5,Blonde,Negative,Independent,Low,No,No,Yes,Yes
47,32,65,9.5,5,5,7,Blonde,Negative,Left,High,Yes,No,No,Yes
48,36,66,4.5,4,7.5,2.5,Blonde,Complainer,Left,Low,Yes,Yes,No,No
49,33,63,8,5,6,8.5,Brunette,Positive,Left,Low,No,No,Yes,Yes
50,40,68,7,4,0,2.5,Brunette,Negative,Left,Medium,Yes,Yes,Yes,No
51,33,64,4.5,6,5,2.5,Brunette,Neutral,Left,Low,Yes,Yes,No,No